Pregunta;Respuesta1;Respuesta2;Respuesta3;Correcta
¿Cuál es la capital de Francia?;Paris;Londres;Berlin;Paris
¿Cuántos planetas hay en el sistema solar?;8;7;9;8
¿Cuál es el símbolo químico del oro?;Au;Ag;Pb;Au
¿En qué año llegó el hombre a la Luna?;1969;1970;1968;1969
¿Cuál es el río más largo del mundo?;Amazonas;Nilo;Yangtse;Nilo
¿Cuál es el planeta más cercano al Sol?;Mercurio;Venus;Marte;Mercurio
¿Cuál es el océano más grande del mundo?;Atlantico;Indico;Pacifico;Pacifico
¿En qué continente se encuentra Egipto?;Africa;Asia;Europa;Africa
¿Quién escribió 'Don Quijote de la Mancha'?; Miguel de Cervantes;Gabriel Garcia Marquez;Shakespeare;Miguel de cervantes
¿Cuál es la fórmula química del agua?;H2O;CO2;O2;H2o
¿Qué país tiene la mayor población del mundo?;China;India;Estados Unidos;China
¿Cuál es el animal terrestre más rápido?;Leopardo;Guepardo;Tigre;Guepardo
¿Cuál es el idioma más hablado en el mundo?;Ingles;Español;Mandarin;Mandarin
¿En qué año comenzó la Segunda Guerra Mundial?;1939;1941;1945;1939
¿Qué instrumento mide los terremotos?;Sismografo;Barometro;Termometro;Sismografo
¿Cuál es el metal más ligero?;Litio;Aluminio;Hierro;Litio
¿Quién pintó la Mona Lisa?;Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Leonardo da vinci
¿Cuál es la capital de Japón?;Beijing;Tokio;Kyoto;Tokio
¿Cuál es la montaña más alta del mundo?;Everest;Kilimanjaro;Aconcagua;Everest
¿Cuál es el gas más abundante en la atmósfera terrestre?;Oxigeno;Nitrogeno;Argon;Nitrogeno